time_iso8601,stars_cumulative
2022-09-06 00:00:00+00:00,667
2022-09-09 00:00:00+00:00,668
2022-09-11 00:00:00+00:00,669
2022-09-17 00:00:00+00:00,670
2022-09-24 00:00:00+00:00,672
2022-09-26 00:00:00+00:00,673
2022-09-27 00:00:00+00:00,675
2022-10-04 00:00:00+00:00,676
2022-10-09 00:00:00+00:00,679
2022-10-11 00:00:00+00:00,680
2022-10-12 00:00:00+00:00,683
2022-10-16 00:00:00+00:00,685
2022-10-20 00:00:00+00:00,686
2022-10-22 00:00:00+00:00,688
2022-10-23 00:00:00+00:00,689
2022-10-25 00:00:00+00:00,690
2022-10-27 00:00:00+00:00,691
2022-10-28 00:00:00+00:00,692
2022-10-29 00:00:00+00:00,693
2022-10-31 00:00:00+00:00,694
2022-11-01 00:00:00+00:00,695
2022-11-02 00:00:00+00:00,696
2022-11-03 00:00:00+00:00,697
2022-11-04 00:00:00+00:00,698
2022-11-06 00:00:00+00:00,699
2022-11-08 00:00:00+00:00,700
2022-11-12 00:00:00+00:00,701
2022-11-18 00:00:00+00:00,702
2022-11-23 00:00:00+00:00,704
2022-11-24 00:00:00+00:00,705
2022-11-26 00:00:00+00:00,706
2022-11-29 00:00:00+00:00,707
2022-12-09 00:00:00+00:00,708
2022-12-14 00:00:00+00:00,709
2022-12-16 00:00:00+00:00,710
2022-12-21 00:00:00+00:00,711
2022-12-22 00:00:00+00:00,712
2022-12-24 00:00:00+00:00,713
2022-12-27 00:00:00+00:00,714
2022-12-28 00:00:00+00:00,715
2023-01-01 00:00:00+00:00,716
2023-01-07 00:00:00+00:00,717
2023-01-08 00:00:00+00:00,718
2023-01-10 00:00:00+00:00,719
2023-01-14 00:00:00+00:00,721
2023-01-21 00:00:00+00:00,722
2023-01-24 00:00:00+00:00,723
2023-01-28 00:00:00+00:00,724
2023-01-29 00:00:00+00:00,727
2023-01-30 00:00:00+00:00,728
2023-02-02 00:00:00+00:00,730
2023-02-04 00:00:00+00:00,732
2023-02-05 00:00:00+00:00,733
2023-02-09 00:00:00+00:00,734
2023-02-12 00:00:00+00:00,735
2023-02-14 00:00:00+00:00,736
2023-02-15 00:00:00+00:00,737
2023-02-16 00:00:00+00:00,738
2023-02-21 00:00:00+00:00,739
2023-02-24 00:00:00+00:00,740
2023-02-27 00:00:00+00:00,741
2023-03-01 00:00:00+00:00,742
2023-03-02 00:00:00+00:00,743
2023-03-03 00:00:00+00:00,744
2023-03-04 00:00:00+00:00,745
2023-03-06 00:00:00+00:00,746
2023-03-10 00:00:00+00:00,748
2023-03-12 00:00:00+00:00,749
2023-03-15 00:00:00+00:00,751
2023-03-18 00:00:00+00:00,752
2023-03-25 00:00:00+00:00,754
2023-03-26 00:00:00+00:00,755
2023-03-29 00:00:00+00:00,756
2023-03-30 00:00:00+00:00,758
2023-03-31 00:00:00+00:00,759
2023-04-01 00:00:00+00:00,760
2023-04-02 00:00:00+00:00,762
2023-04-03 00:00:00+00:00,764
2023-04-04 00:00:00+00:00,765
2023-04-06 00:00:00+00:00,766
2023-04-15 00:00:00+00:00,767
2023-04-17 00:00:00+00:00,770
2023-04-18 00:00:00+00:00,771
2023-04-23 00:00:00+00:00,772
2023-04-24 00:00:00+00:00,773
2023-04-29 00:00:00+00:00,774
2023-05-11 00:00:00+00:00,775
2023-05-14 00:00:00+00:00,776
2023-05-16 00:00:00+00:00,777
2023-05-17 00:00:00+00:00,778
2023-05-22 00:00:00+00:00,779
2023-05-27 00:00:00+00:00,780
2023-05-29 00:00:00+00:00,781
2023-05-31 00:00:00+00:00,782
2023-06-02 00:00:00+00:00,783
2023-06-03 00:00:00+00:00,785
2023-06-05 00:00:00+00:00,786
2023-06-06 00:00:00+00:00,787
2023-06-11 00:00:00+00:00,789
2023-06-13 00:00:00+00:00,790
2023-06-14 00:00:00+00:00,791
2023-06-16 00:00:00+00:00,792
2023-06-19 00:00:00+00:00,793
2023-06-20 00:00:00+00:00,794
2023-06-24 00:00:00+00:00,795
2023-06-30 00:00:00+00:00,796
2023-07-02 00:00:00+00:00,798
2023-07-03 00:00:00+00:00,799
2023-07-04 00:00:00+00:00,800
2023-07-06 00:00:00+00:00,801
2023-07-07 00:00:00+00:00,802
2023-07-10 00:00:00+00:00,803
2023-07-12 00:00:00+00:00,804
2023-07-20 00:00:00+00:00,806
2023-07-23 00:00:00+00:00,807
2023-07-27 00:00:00+00:00,808
2023-08-04 00:00:00+00:00,810
2023-08-11 00:00:00+00:00,811
2023-08-12 00:00:00+00:00,812
2023-08-17 00:00:00+00:00,813
2023-08-19 00:00:00+00:00,814
2023-08-20 00:00:00+00:00,815
2023-08-24 00:00:00+00:00,817
2023-09-09 00:00:00+00:00,818
2023-09-11 00:00:00+00:00,819
2023-09-13 00:00:00+00:00,820
2023-09-14 00:00:00+00:00,821
2023-09-15 00:00:00+00:00,822
2023-09-16 00:00:00+00:00,823
2023-09-21 00:00:00+00:00,824
2023-09-26 00:00:00+00:00,825
2023-09-29 00:00:00+00:00,826
2023-09-30 00:00:00+00:00,828
2023-10-07 00:00:00+00:00,829
2023-10-11 00:00:00+00:00,830
2023-10-13 00:00:00+00:00,832
2023-10-17 00:00:00+00:00,833
2023-10-22 00:00:00+00:00,835
2023-11-07 00:00:00+00:00,836
2023-11-08 00:00:00+00:00,837
2023-11-10 00:00:00+00:00,838
2023-11-14 00:00:00+00:00,839
